"","id","activity_date","total_steps","total_dist","active_mins","sedentary_mins","calories","mins_asleep","mins_in_bed","weight","bmi","is_healthy"
"1","1503960366",2016-04-12,13162,8.5,366,728,1985,327,346,NA,NA,NA
"2","1503960366",2016-04-13,10735,6.96999979019165,257,776,1797,384,407,NA,NA,NA
"3","1503960366",2016-04-14,10460,6.73999977111816,222,1218,1776,NA,NA,NA,NA,NA
"4","1503960366",2016-04-15,9762,6.28000020980835,272,726,1745,412,442,NA,NA,NA
"5","1503960366",2016-04-16,12669,8.15999984741211,267,773,1863,340,367,NA,NA,NA
"6","1503960366",2016-04-17,9705,6.48000001907349,222,539,1728,700,712,NA,NA,NA
"7","1503960366",2016-04-18,13019,8.59000015258789,291,1149,1921,NA,NA,NA,NA,NA
"8","1503960366",2016-04-19,15506,9.88000011444092,345,775,2035,304,320,NA,NA,NA
"9","1503960366",2016-04-20,10544,6.67999982833862,245,818,1786,360,377,NA,NA,NA
"10","1503960366",2016-04-21,9819,6.34000015258789,238,838,1775,325,364,NA,NA,NA
"11","1503960366",2016-04-22,12764,8.13000011444092,223,1217,1827,NA,NA,NA,NA,NA
"12","1503960366",2016-04-23,14371,9.03999996185303,324,732,1949,361,384,NA,NA,NA
"13","1503960366",2016-04-24,10039,6.40999984741211,282,709,1788,430,449,NA,NA,NA
"14","1503960366",2016-04-25,15355,9.80000019073486,303,814,2013,277,323,NA,NA,NA
"15","1503960366",2016-04-26,13755,8.78999996185303,333,833,1970,245,274,NA,NA,NA
"16","1503960366",2016-04-27,18134,12.210000038147,332,1108,2159,NA,NA,NA,NA,NA
"17","1503960366",2016-04-28,13154,8.52999973297119,265,782,1898,366,393,NA,NA,NA
"18","1503960366",2016-04-29,11181,7.15000009536743,271,815,1837,341,354,NA,NA,NA
"19","1503960366",2016-04-30,14673,9.25,303,712,1947,404,425,NA,NA,NA
"20","1503960366",2016-05-01,10602,6.80999994277954,314,730,1820,369,396,NA,NA,NA
"21","1503960366",2016-05-02,14727,9.71000003814697,333,798,2004,277,309,52.59999847,22.65,"YES"
"22","1503960366",2016-05-03,15103,9.65999984741211,328,816,1990,273,296,52.59999847,22.65,"YES"
"23","1503960366",2016-05-04,11100,7.15000009536743,261,1179,1819,NA,NA,NA,NA,NA
"24","1503960366",2016-05-05,14070,8.89999961853027,319,857,1959,247,264,NA,NA,NA
"25","1503960366",2016-05-06,12159,8.02999973297119,319,754,1896,334,367,NA,NA,NA
"26","1503960366",2016-05-07,11992,7.71000003814697,258,833,1821,331,349,NA,NA,NA
"27","1503960366",2016-05-08,10060,6.57999992370605,255,574,1740,594,611,NA,NA,NA
"28","1503960366",2016-05-09,12022,7.71999979019165,263,835,1819,338,342,NA,NA,NA
"29","1503960366",2016-05-10,12207,7.76999998092651,291,746,1859,383,403,NA,NA,NA
"30","1503960366",2016-05-11,12770,8.13000011444092,310,669,1783,285,306,NA,NA,NA
"31","1503960366",2016-05-12,0,0,0,1440,0,NA,NA,NA,NA,NA
"32","1624580081",2016-04-12,8163,5.30999994277954,146,1294,1432,NA,NA,NA,NA,NA
"33","1624580081",2016-04-13,7007,4.55000019073486,148,1292,1411,NA,NA,NA,NA,NA
"34","1624580081",2016-04-14,9107,5.92000007629395,236,1204,1572,NA,NA,NA,NA,NA
"35","1624580081",2016-04-15,1510,0.980000019073486,96,1344,1344,NA,NA,NA,NA,NA
"36","1624580081",2016-04-16,5370,3.49000000953674,176,1264,1463,NA,NA,NA,NA,NA
"37","1624580081",2016-04-17,6175,4.05999994277954,164,1276,1554,NA,NA,NA,NA,NA
"38","1624580081",2016-04-18,10536,7.40999984741211,226,1214,1604,NA,NA,NA,NA,NA
